strategy,bw_percentile,stop_atr_mult,vol_mult,total_trades,win_rate,profit_factor,avg_r,max_dd,total_return,sharpe,final_balance
volatility,15,1.5,1.3,410,42.44,1.47,0.2732,36.85,681.87,2.92,781.87
volatility,15,2.0,1.3,438,42.01,1.45,0.2603,42.65,704.81,2.79,804.81
volatility,15,1.5,1.5,369,41.73,1.43,0.252,39.21,445.21,2.7,545.21
volatility,15,2.0,2.5,220,41.36,1.41,0.2409,26.76,161.94,2.59,261.94
volatility,15,2.5,1.3,376,40.96,1.39,0.2287,39.08,373.62,2.46,473.62
volatility,20,1.5,2.0,339,41.0,1.39,0.2301,34.24,310.16,2.48,410.16
volatility,15,1.5,2.0,291,40.89,1.38,0.2268,33.93,229.54,2.44,329.54
volatility,15,2.0,1.5,386,40.67,1.37,0.2202,39.15,362.26,2.37,462.26
volatility,20,1.5,1.3,467,40.69,1.37,0.2206,45.46,539.76,2.38,639.76
volatility,25,1.5,1.3,497,40.04,1.34,0.2012,43.06,495.75,2.17,595.75
volatility,15,1.5,2.5,213,39.91,1.33,0.1972,32.05,111.21,2.13,211.21
volatility,20,1.5,1.5,429,39.86,1.33,0.1958,36.85,345.72,2.12,445.72
volatility,25,1.5,2.0,365,40.0,1.33,0.2,35.65,267.53,2.16,367.53
volatility,25,2.0,1.3,529,39.89,1.33,0.1966,46.14,536.97,2.12,636.97
volatility,20,2.0,1.3,493,39.76,1.32,0.1927,47.25,440.15,2.08,540.15
volatility,30,2.5,1.3,467,39.83,1.32,0.1949,56.01,404.31,2.11,504.31
volatility,20,2.0,2.5,258,39.53,1.31,0.186,30.31,133.81,2.01,233.81
volatility,30,1.5,1.3,516,39.53,1.31,0.186,46.42,446.14,2.01,546.14
volatility,25,2.5,1.3,449,39.42,1.3,0.1826,56.02,324.85,1.98,424.85
volatility,20,2.0,1.5,439,39.18,1.29,0.1754,40.35,286.55,1.9,386.55
volatility,25,2.0,1.5,474,39.24,1.29,0.1772,39.36,337.96,1.92,437.96
volatility,25,1.5,1.5,461,39.05,1.28,0.1714,35.63,298.69,1.86,398.69
volatility,25,2.0,2.5,286,38.81,1.27,0.1643,30.4,126.56,1.78,226.56
volatility,30,2.0,1.3,549,38.8,1.27,0.1639,49.49,378.94,1.78,478.94
volatility,20,2.5,1.3,432,38.66,1.26,0.1597,55.1,230.76,1.74,330.76
volatility,30,1.5,2.0,375,38.67,1.26,0.16,41.75,182.99,1.74,282.99
volatility,30,2.0,2.5,293,38.57,1.26,0.157,32.35,121.53,1.71,221.53
volatility,15,2.5,1.5,346,38.44,1.25,0.1532,40.73,149.14,1.67,249.14
volatility,20,1.5,2.5,252,38.49,1.25,0.1548,38.4,95.99,1.68,195.99
volatility,30,1.5,1.5,471,38.22,1.24,0.1465,37.38,225.7,1.6,325.7
volatility,30,2.0,1.5,487,38.19,1.24,0.1458,40.57,236.82,1.59,336.82
volatility,25,1.5,2.5,281,38.08,1.23,0.1423,38.57,97.49,1.55,197.49
volatility,15,2.5,2.5,201,37.81,1.22,0.1343,35.37,57.62,1.47,157.62
volatility,15,2.0,2.0,295,37.63,1.21,0.1288,35.26,89.01,1.41,189.01
volatility,30,1.5,2.5,287,37.63,1.21,0.1289,39.81,85.71,1.41,185.71
volatility,20,2.0,2.0,336,37.5,1.2,0.125,36.24,101.26,1.37,201.26
volatility,25,2.0,2.0,359,37.33,1.19,0.1198,35.56,103.36,1.31,203.36
volatility,30,2.0,2.0,369,36.86,1.17,0.1057,41.66,87.31,1.16,187.31
volatility,25,2.5,1.5,411,36.74,1.16,0.1022,55.1,95.4,1.12,195.4
volatility,15,2.5,2.0,274,36.5,1.15,0.0949,35.57,50.21,1.04,150.21
volatility,15,3.0,1.3,350,36.29,1.14,0.0886,49.99,60.93,0.97,160.93
volatility,20,2.5,1.5,394,36.04,1.13,0.0812,53.26,61.27,0.9,161.27
volatility,30,2.5,1.5,412,36.17,1.13,0.085,56.68,69.97,0.94,169.97
volatility,20,2.5,2.5,231,35.93,1.12,0.0779,44.93,30.4,0.86,130.4
volatility,25,2.5,2.0,318,35.85,1.12,0.0755,46.23,41.82,0.83,141.82
volatility,20,2.5,2.0,303,35.64,1.11,0.0693,44.0,34.58,0.77,134.58
volatility,25,3.0,1.3,409,35.45,1.1,0.0636,57.54,42.37,0.7,142.37
volatility,30,2.5,2.0,327,35.47,1.1,0.0642,47.28,33.23,0.71,133.23
volatility,20,3.0,1.3,395,35.19,1.09,0.0557,51.96,32.34,0.62,132.34
volatility,25,2.5,2.5,248,35.08,1.08,0.0524,48.67,17.22,0.58,117.22
volatility,15,3.0,1.5,321,34.89,1.07,0.0467,55.7,18.51,0.52,118.51
volatility,30,2.5,2.5,253,34.78,1.07,0.0435,49.69,12.5,0.48,112.5
volatility,25,3.0,1.5,371,34.5,1.05,0.035,59.69,11.72,0.39,111.72
volatility,15,3.0,2.5,191,34.03,1.03,0.0209,37.75,0.37,0.23,100.37
volatility,30,3.0,1.5,379,33.51,1.01,0.0053,62.02,-10.4,0.06,89.6
volatility,30,3.0,1.3,398,33.42,1.0,0.0025,62.22,-12.84,0.03,87.16
volatility,15,3.0,2.0,241,32.78,0.98,-0.0166,55.49,-16.01,-0.19,83.99
volatility,20,3.0,1.5,343,32.65,0.97,-0.0204,64.84,-23.95,-0.23,76.05
volatility,25,3.0,2.0,286,32.17,0.95,-0.035,56.54,-26.65,-0.4,73.35
volatility,20,3.0,2.0,262,31.68,0.93,-0.0496,58.15,-30.3,-0.56,69.7
volatility,30,3.0,2.5,237,31.65,0.93,-0.0506,55.59,-28.23,-0.58,71.77
volatility,25,3.0,2.5,230,31.3,0.91,-0.0609,53.75,-30.78,-0.69,69.22
volatility,30,3.0,2.0,291,31.27,0.91,-0.0619,60.53,-37.55,-0.71,62.45
volatility,20,3.0,2.5,209,30.62,0.88,-0.0813,45.77,-34.28,-0.93,65.72
